,Latitude,Longitude,magnitude
113,41.823528745,-87.703189285,48.0
114,41.935433892,-87.678221729,24.0
115,41.89972788,-87.666156654,41.0
116,41.909664252,-87.742728815,44.0
117,41.743528707,-87.578257475,45.0
118,41.964495979,-87.736777131,44.0
119,41.879682085,-87.668201247,12.0
120,41.802031713,-87.59049938,40.0
121,41.951787958,-87.652037805,17.0
122,41.874549196,-87.686253503,26.0
123,41.946212132,-87.646579678,12.0
124,41.928822325,-87.687781609,13.0
125,41.900893574,-87.720711151,29.0
126,41.752748627,-87.741497836,43.0
127,41.889594703,-87.621136475,47.0
128,41.801583507,-87.633177068,47.0
129,41.928822325,-87.687781609,39.0
130,41.969190882,-87.713386735,53.0
131,41.928349655,-87.642857579,35.0
132,41.896058183,-87.654804865,39.0
133,41.855718661,-87.684402447,45.0
134,41.880988964,-87.704854042,31.0
135,41.895877613,-87.706566627,25.0
136,41.68098439,-87.629953941,15.0
137,41.776799497,-87.779999154,13.0
138,41.754894812,-87.663546687,8.0
139,41.883500187,-87.627876698,9.0
140,41.769715215,-87.665163117,11.0
141,41.880964005,-87.706815211,24.0
142,41.794678414,-87.623262756,25.0
143,41.860396443,-87.707933763,52.0
144,41.87133401,-87.624158997,43.0
145,41.906309742,-87.671102583,51.0
146,41.706567182,-87.670131443,39.0
147,41.910956613,-87.677472785,36.0
148,41.884472382,-87.633378182,60.0
149,41.772362121,-87.652315863,15.0
150,41.742717027,-87.647510251,40.0
151,41.961581868,-87.66981359,47.0
152,41.892753031,-87.624193896,25.0
153,41.844026941,-87.622100808,22.0
154,41.763647552,-87.722344693,14.0
155,41.874128055,-87.633619572,11.0
156,41.89658837,-87.634759184,16.0
157,41.899410159,-87.624131266,25.0
158,41.930555117,-87.715940255,40.0
159,41.866491838,-87.737428453,36.0
160,41.932732704,-87.648444246,42.0
161,41.814106994,-87.621342434,47.0
162,41.732523452,-87.58277545,46.0
163,41.928822325,-87.687781609,49.0
164,41.908849952,-87.646645976,43.0
165,41.946648722,-87.702084879,47.0
166,42.003982293,-87.692485993,59.0
167,41.89436597,-87.726055183,64.0
168,41.922885269,-87.751190651,39.0
169,41.903774032,-87.679717307,48.0
170,41.909902879,-87.647420884,52.0
171,41.931582761,-87.742794939,55.0
172,41.895140898,-87.624255632,37.0
173,41.879450304,-87.628424314,39.0
174,41.801293701,-87.66751616,44.0
175,41.779295906,-87.644774188,33.0
176,41.89804054,-87.624091323,46.0
177,41.883500187,-87.627876698,39.0
178,41.779125969,-87.692724188,55.0
179,41.899410159,-87.624131266,41.0
180,41.871778951,-87.713888331,42.0
181,41.875413635,-87.714128621,32.0
182,41.767136819,-87.568963252,27.0
183,41.883516261,-87.636803841,47.0
184,41.892605313,-87.619839586,25.0
185,41.944539064,-87.647648907,52.0
186,41.758302246,-87.6209517,61.0
187,41.879235852,-87.624347038,51.0
188,41.930966504,-87.78739692,48.0
189,41.899410159,-87.624131266,55.0
190,41.923141058,-87.666526442,54.0
191,41.918101097,-87.653623444,43.0
192,41.839410287,-87.646313633,32.0
193,41.823065163,-87.719443092,18.0
194,41.819013668,-87.70305379,15.0
195,41.753627233,-87.640456521,12.0
196,41.968613226,-87.689211248,20.0
197,41.873185004,-87.743795434,21.0
198,41.872967379,-87.629152783,45.0
199,41.899410159,-87.624131266,65.0
200,41.880653112,-87.634396649,34.0
201,41.781731648,-87.587862886,29.0
202,41.83805499,-87.645458414,29.0
203,41.772285481,-87.625115462,21.0
204,41.786258092,-87.702590037,15.0
205,41.947882792,-87.75289317,11.0
206,41.918724011,-87.80608596,10.0
207,41.86821682,-87.6304532,20.0
208,41.862544493,-87.723107471,22.0
209,41.883210775,-87.629906972,25.0
210,41.736269116,-87.627768243,34.0
211,41.731549891,-87.658077682,41.0
212,41.888778301,-87.632512191,54.0
213,41.743283936,-87.606691467,43.0
214,41.945869435,-87.767364953,32.0
215,41.736269116,-87.627768243,32.0
216,41.774531367,-87.603362034,45.0
217,41.825298645,-87.6069609,4.0
218,41.65125265,-87.537454574,17.0
219,41.909374789,-87.685975384,19.0
220,41.92714148,-87.672107209,14.0
221,41.804133114,-87.703859846,41.0
222,41.736277091,-87.585212192,41.0
223,41.794766069,-87.618369729,42.0
224,41.830615654,-87.656142227,42.0
225,41.831818944,-87.610864733,40.0
226,41.925226238,-87.662683065,24.0
227,41.876650547,-87.755587101,37.0
228,41.897924384,-87.695523597,51.0
229,41.992840571,-87.688510886,45.0
230,41.873681917,-87.706522832,51.0
231,41.889976806,-87.715045722,11.0
232,41.881883933,-87.640060441,38.0
233,41.901189742,-87.667434438,38.0
234,41.769398466,-87.571495105,47.0
235,41.879116997,-87.757646932,49.0
236,41.735720069,-87.668226842,27.0
237,41.882834231,-87.633855092,24.0
238,41.886012928,-87.629505318,22.0
239,41.943481243,-87.659948189,44.0
240,41.73147687,-87.548532945,33.0
241,41.917114841,-87.654368752,41.0
242,41.773191722,-87.687141285,40.0
243,41.914245621,-87.727689097,49.0
244,41.903179264,-87.677919727,54.0
245,41.708738371,-87.610149648,12.0
246,41.875070002,-87.640974928,24.0
247,41.73527097,-87.66792005,64.0
248,41.898516209,-87.637246929,44.0
249,41.78308398,-87.735106809,36.0
250,41.776176493,-87.706270666,32.0
251,41.853953807,-87.622244109,37.0
252,41.867427761,-87.626192049,27.0
253,41.769022335,-87.620206266,21.0
254,41.968465176,-87.707594883,9.0
255,41.705722012,-87.701312362,16.0
256,41.923672617,-87.786301606,17.0
257,41.814067397,-87.599355017,30.0
258,41.781462605,-87.613230509,39.0
259,41.78335683,-87.790025857,28.0
260,41.9511824,-87.650805385,45.0
261,41.793935909,-87.625680278,52.0
262,41.979006297,-87.906463155,45.0
263,41.736508334,-87.614121283,43.0
264,41.865464029,-87.721493726,41.0
265,41.81991376,-87.602535007,60.0
266,41.774344746,-87.603360484,48.0
267,41.689841152,-87.642298382,64.0
268,41.898865831,-87.672263083,52.0
269,41.844248026,-87.725087021,50.0
270,41.747965603,-87.662163891,34.0
271,41.742641244,-87.661625734,48.0
272,41.895896023,-87.677913394,32.0
273,41.879876814,-87.627718261,36.0
274,41.668189482,-87.620471046,47.0
275,41.666347934,-87.623115519,39.0
276,41.896175894,-87.66082001,46.0
277,41.939297868,-87.71079478,52.0
278,41.923097164,-87.727954477,41.0
279,41.735915452,-87.712967967,39.0
280,41.907483794,-87.688375022,30.0
281,41.917671378,-87.658933611,55.0
282,41.883500187,-87.627876698,43.0
283,41.802062624,-87.618732403,47.0
284,41.932784743,-87.645672656,63.0
285,41.851988885,-87.689219118,50.0
286,41.867081407,-87.619003708,53.0
287,41.925857793,-87.695006589,61.0
288,41.868541914,-87.639235361,45.0
289,41.94594016,-87.808240064,42.0
290,41.871336669,-87.625925,36.0
291,41.903320694,-87.669102069,42.0
292,41.891199446,-87.624137626,29.0
293,41.907794034,-87.673427375,32.0
294,41.883224344,-87.624971297,40.0
295,41.976851852,-87.654999693,42.0
296,41.910029055,-87.7655435,52.0
297,41.868541914,-87.639235361,38.0
298,41.743307923,-87.647196164,41.0
299,41.968591226,-87.691653111,37.0
300,41.699009904,-87.641376336,37.0
301,42.013148729,-87.668037812,44.0
302,41.797414808,-87.584002797,33.0
303,41.881895543,-87.638349075,47.0
304,41.878123916,-87.633208786,42.0
305,41.743553697,-87.609865368,45.0
306,41.882425241,-87.626221334,39.0
307,41.899410159,-87.624131266,21.0
308,41.915729613,-87.746056778,48.0
309,41.954537863,-87.65114825,43.0
310,41.768096835,-87.663878589,57.0
311,41.762977039,-87.582365662,49.0
312,41.796278106,-87.702202082,60.0
313,41.958474197,-87.65087832,45.0
314,41.907736497,-87.663960909,47.0
315,41.895003278,-87.62152816,71.0
316,41.879901533,-87.627721661,53.0
317,41.765997125,-87.66382344,52.0
318,41.881730836,-87.626203285,42.0
319,41.897895128,-87.624096605,46.0
320,41.937919992,-87.649024588,25.0
321,41.897895128,-87.624096605,18.0
322,41.765997125,-87.66382344,22.0
323,41.765997125,-87.66382344,17.0
324,41.891045813,-87.617950803,12.0
325,41.995553982,-87.786179422,15.0
326,41.9090189,-87.677422819,17.0
327,41.793969887,-87.624070018,35.0
328,41.901873141,-87.629265046,30.0
329,41.769399808,-87.683374271,34.0
330,41.770969165,-87.586268228,26.0
331,41.88065283,-87.731763004,40.0
332,41.886863814,-87.626851797,33.0
333,41.938578988,-87.809186242,39.0
334,41.736966944,-87.582005586,40.0
335,41.76754789,-87.576337337,52.0
336,41.768985757,-87.594014953,38.0
337,41.88446517,-87.634446911,32.0
338,41.761594834,-87.577067068,46.0
339,41.77518887,-87.661660174,34.0
340,41.736148121,-87.629070243,49.0
341,41.883500187,-87.627876698,29.0
342,41.908849952,-87.646645976,30.0
343,41.87870641,-87.63693686,30.0
344,41.752172905,-87.715541722,42.0
345,41.885729338,-87.625780935,32.0
346,41.908849952,-87.646645976,19.0
347,41.963025517,-87.706471518,19.0
348,41.910118996,-87.781744243,8.0
349,41.885413255,-87.704957578,18.0
350,41.918154385,-87.650117624,15.0
351,41.736148121,-87.629070243,30.0
352,41.91125578,-87.677480744,33.0
353,41.791421485,-87.721622634,38.0
354,41.868044008,-87.63226142,41.0
355,41.658710798,-87.604327498,42.0
356,41.79312501,-87.653636311,42.0
357,41.901312537,-87.753300437,43.0
358,41.79576708,-87.58088648,51.0
359,41.899402444,-87.685525136,34.0
360,41.816210699,-87.606696758,44.0
361,41.851480155,-87.714994492,49.0
362,41.797483144,-87.624163306,51.0
363,41.916665267,-87.688245842,52.0
364,41.837356939,-87.698173016,35.0
365,41.88058568,-87.640023065,48.0
366,41.939362537,-87.703031512,46.0
367,41.746523677,-87.636611928,53.0
368,41.934824387,-87.697699335,49.0
369,41.805912623,-87.684351458,45.0
370,41.904931589,-87.759736749,55.0
371,41.869902199,-87.718543569,55.0
372,41.775266233,-87.664100992,42.0
373,41.981589242,-87.765930648,37.0
374,41.976062697,-87.701367887,45.0
375,41.899552895,-87.624137033,48.0
376,41.979794685,-87.765961291,13.0
377,41.76559446,-87.621050648,19.0
378,41.797534234,-87.676129394,28.0
379,41.920549666,-87.748977836,36.0
380,41.747077049,-87.591734208,12.0
381,41.79329893,-87.66456619,7.0
382,41.948080543,-87.654356395,11.0
383,41.873659944,-87.686233099,15.0
384,41.979006297,-87.906463155,10.0
385,41.858408833,-87.710317158,55.0
386,41.942770267,-87.792214317,30.0
387,41.986755468,-87.699625337,41.0
388,41.837862186,-87.621915865,35.0
389,41.898320148,-87.677120922,31.0
390,41.895407767,-87.67459435,35.0
391,41.77279778,-87.683468276,33.0
392,41.752519908,-87.606477362,33.0
393,41.899968354,-87.667399375,21.0
394,41.867345159,-87.77002594,38.0
395,41.751113941,-87.565008576,31.0
396,41.897012256,-87.632716018,30.0
397,41.729824439,-87.662887634,18.0
398,41.878931004,-87.639585621,14.0
399,41.880417506,-87.627730673,24.0
400,41.958010544,-87.652747282,22.0
401,41.883500187,-87.627876698,19.0
402,41.950008368,-87.653200022,33.0
403,41.744773909,-87.612325115,34.0
404,41.692576964,-87.623786349,34.0
405,41.995274007,-87.713295523,52.0
406,41.685068588,-87.643184156,38.0
407,41.972565417,-87.724511248,33.0
408,41.912406937,-87.680602833,67.0
409,41.704031198,-87.636697329,73.0
410,41.69486143,-87.719817923,50.0
411,41.906276004,-87.670011875,42.0
412,41.89631898,-87.652039994,17.0
413,41.681283184,-87.622760954,14.0
414,41.932852976,-87.691588814,53.0
415,41.899410159,-87.624131266,50.0
416,41.976762981,-87.900983721,59.0
417,41.757663878,-87.611447833,58.0
418,41.742710224,-87.634088181,52.0
419,41.892290812,-87.74439841,57.0
420,41.873480317,-87.624208705,53.0
421,41.743352355,-87.546655144,55.0
422,41.970599981,-87.714649091,45.0
423,41.779675318,-87.64994702,46.0
424,41.872738032,-87.709572199,50.0
425,41.89875558,-87.626566464,53.0
426,41.868541914,-87.639235361,40.0
427,41.929019789,-87.653062881,29.0
428,41.739669366,-87.604907509,42.0
429,41.895877613,-87.706566627,27.0
430,41.882424852,-87.624377884,9.0
431,41.880069618,-87.647310392,23.0
432,41.853951387,-87.632565837,17.0
433,41.764632089,-87.628311641,15.0
434,41.976851852,-87.654999693,23.0
